,,,,,,,,,,,,,,,
,Item,Description,Current Status,Estimated Time to Complete,Due Date,Note,,,,,,,,,
,Gin Bar,"Book and confirm mobile gin bar vendor, packages, and service hours.",AWAITING CONFIRMATION - TO BE PAID,5 Minutes ,13th of Nov,,,,,,,,,,
,Florist,"Choose floral style; confirm bouquets, buttonholes, ceremony and reception florals.",AWAITING CONFIRMATION - TO BE PAID,5 Minutes ,,,,,,,,,,,
,Live Music - Ceremony,"Hire musicians; confirm songs for processional, signing, and recessional.",CANCELLED,,,,,,,,,,,,
,Live Music - Guitarist,Confirm guitarist for canapes/cocktail hour; set list and power needs.,AWAITING CONFIRMATION,"60 minutes, just need to meet person ",,,,,,,,,,,
,DJ - After Dinner SPEAKERS,Book speakers for Wedding ,DONE,1 day,Call tuesday 11th Nov,https://www.geelongspeakerhire.com.au/party-packages.html - still book remix,,,,,"Pirce as is $219 for pick and setup, $500 for delivery ",,,,Dad to pickup and drop off
,Wedding Cars,Arrange transport schedule for couple and VIPs; confirm pickup points.,CANCELLED,,,"No longer needed, going to be Sonja and Kev (Karen and Mark for Russell)",,,,,,,,,
,DJ MIX - After Dinner,"Spotify playlist instead, may look into getting a mix done",IN PROGRESS,,,https://www.fiverr.com/marlboroguy/professionally-mix-your-playlist?context_referrer=search_gigs_with_modalities&source=choice_modalities_pricing&ref_ctx_id=e8fe88721a4145f7b035072aac5528ee&fiverr_choice=true&pckg_id=1&pos=2&context_type=auto&funnel=e8fe88721a4145f7b035072aac5528ee&imp_id=eb4483fe-978f-4f22-bb66-c13cb9d1eba1#,,,,,,,,,
,Wedding Veil,Purchase/alter veil; coordinate with hair plan and dress length.,DONE,,,,,,,,,,,,
,Steamer for Veil,Arrange steamer or pressing service for veil and dress on the day.,DONE,,,,,,,,,,,,
,Wedding Shoes,Buy ceremony shoes; break in and add non slip pads if needed.,DONE,,,,,,,,,,,,
,Wedding Sneakers,Buy reception sneakers for comfort; coordinate with outfit hem.,DONE,,,,,,,,,,,,
,Bridal Shapewear,Select comfortable shapewear suited to dress cut and fabric.,IN PROGRESS,,,,,,,,,,,,
,Bridal Earrings & Jewellery,Choose earrings/necklace/bracelet; ensure metals match dress details.,DONE,,,,,,,,,,,,
